gender,product_type,name,name_english,website_url,status
Men,Shoe,Giày tây,Lace-Up Shoes,www.maisononline.vn/collections/giay-tay-nam,published
Men,Shoe,Giày oxford,Oxford Shoes,www.maisononline.vn/collections/giay-oxford-nam,published
Men,Shoe,Giày lười,Loafers,www.maisononline.vn/collections/giay-luoi-loafer-nam,published
Men,Shoe,Giày slip on,Slip on Sneakers,www.maisononline.vn/collections/giay-luoi-slip-on-nam,published
Men,Shoe,Giày mules,Mules,www.maisononline.vn/collections/giay-mules-giay-suc-nam,published
Men,Shoe,Giày clog,Clogs,www.maisononline.vn/collections/giay-clog-nam,published
Men,Shoe,Giày sandals,Sandals,www.maisononline.vn/collections/giay-sandals-nam,published
Men,Shoe,Giày boots,Boots,www.maisononline.vn/collections/boots-nam,published
Men,Shoe,Giày sneakers cổ thấp,Low-heel Sneakers,www.maisononline.vn/collections/giay-sneakers-co-thap-nam,published
Men,Shoe,Giày sneakers cổ cao,High-heel Sneakers,www.maisononline.vn/collections/giay-sneakers-co-cao-nam,published
Men,Shoe,Giày đi bộ,Walking Shoes,www.maisononline.vn/collections/giay-di-bo-nam,published
Men,Shoe,Giày chạy bộ,Running Shoes,www.maisononline.vn/collections/giay-chay-bo-nam,published
Men,Shoe,Giày tập luyện,Trainner Shoes,www.maisononline.vn/collections/giay-tap-luyen-nam,published
Men,Shoe,Giày bóng rổ,Basket Ball Shoes,www.maisononline.vn/collections/giay-bong-ro-nam,published
Women,Shoe,Giày chạy bộ,Running Shoes,www.maisononline.vn/collections/giay-chay-bo-nu,published
Women,Sandal,Dép kẹp ,Flip Flops,www.maisononline.vn/collections/dep-kep-nu,published
Women,Sandal,Dép quai chéo,Criss Cross Slides,www.maisononline.vn/collections/dep-quai-cheo-nu,published
Women,Sandal,Dép quai ngang,Slides,www.maisononline.vn/collections/dep-quai-ngang-nu,published
Women,Shoe,Giày lười,Loafers,www.maisononline.vn/collections/giay-luoi-loafer-nu,published
Women,Shoe,Giày slip on,Slip on,www.maisononline.vn/collections/giay-luoi-slip-on-nu,published
Women,Shoe,Giày mules,Mules,www.maisononline.vn/collections/giay-mules-giay-suc-nu,published
Women,Shoe,Giày clog,Clogs,www.maisononline.vn/collections/giay-clog-nam,published
Women,Shoe,Giày sandals,Sandals,www.maisononline.vn/collections/giay-sandals-nu,published
Women,Shoe,Giày sandals cao gót,High-heel Sandals,www.maisononline.vn/collections/giay-sandals-cao-got,published
Women,Shoe,Giày búp bê,Ballerina Shoes,www.maisononline.vn/collections/giay-bup-be-nu,published
Women,Shoe,Giày cao gót bít mũi,Pumps,www.maisononline.vn/collections/giay-cao-got-bit-mui,published
Women,Shoe,Giày boots,Boots,www.maisononline.vn/collections/boots-nu,published
Women,Shoe,Giày đế xuồng,Toe Wedges,www.maisononline.vn/collections/giay-de-xuong,published
Women,Shoe,Giày sneakers cổ thấp,Low-heel Sneakers,www.maisononline.vn/collections/giay-sneakers-co-thap-nu,published
Women,Shoe,Giày sneakers cổ cao,High-heel Sneakers,www.maisononline.vn/collections/giay-sneakers-co-cao-nu,published
Women,Shoe,Giày đi bộ,Walking Shoes,www.maisononline.vn/collections/giay-di-bo-nu,published
Women,Shoe,Giày tập luyện,Trainner Shoes,www.maisononline.vn/collections/giay-tap-luyen-nu,published
Kid,Shoe,Giày slip on trẻ em,Slippers,www.maisononline.vn/collections/giay-tre-em,published
Kid,Shoe,Giày sneakers cổ thấp trẻ em,Sneakers low-tops,www.maisononline.vn/collections/giay-tre-em,published
Kid,Shoe,Giày chạy bộ trẻ em,Running Shoes,www.maisononline.vn/collections/giay-chay-bo-tre-em,published
Kid,Shoe,Giày tập luyện trẻ em,Trainner Shoes,www.maisononline.vn/collections/giay-tap-luyen-tre-em,published
